ordering,seed,err_sub_mHa,retained_J,captured
identity,2026,47.8720006603055,0.2873536076038539,0.9652970686883269
identity,7,44.47567527671481,0.2873536076038539,0.9652970686883269
identity,1234,47.8720006603055,0.2873536076038539,0.9652970686883269
identity,55555,47.8720006603055,0.2873536076038539,0.9652970686883269
identity,31415,47.8720006603055,0.2873536076038539,0.9652970686883269
max_retainedJ,2026,43.58678774541147,0.31951525584015156,0.9675749863502464
max_retainedJ,7,42.96676501020613,0.31951525584015156,0.9675749863502464
max_retainedJ,1234,43.58678774541147,0.31951525584015156,0.9675749863502464
max_retainedJ,55555,43.58009150470821,0.31951525584015156,0.9675749863502464
max_retainedJ,31415,43.58678774541147,0.31951525584015156,0.9675749863502464
max_captured_ORACLE,2026,23.27661349160337,0.2959601342412212,0.9843121116663687
max_captured_ORACLE,7,23.27661349160337,0.2959601342412212,0.9843121116663687
max_captured_ORACLE,1234,23.27661349160337,0.2959601342412212,0.9843121116663687
max_captured_ORACLE,55555,23.27661349160337,0.2959601342412212,0.9843121116663687
max_captured_ORACLE,31415,23.27661349160337,0.2959601342412212,0.9843121116663687
