ordering,perm,seed,dim,err_sub_mHa,captured,retained_J
identity,0123456789,2026,225,30.45513664403643,0.9802118554467022,0.2873536076002065
identity,0123456789,7,225,30.45513664403643,0.9802118554467022,0.2873536076002065
identity,0123456789,1234,225,30.45513664403643,0.9802118554467022,0.2873536076002065
identity,0123456789,55555,225,30.45513664403643,0.9802118554467022,0.2873536076002065
identity,0123456789,31415,225,30.45513664403643,0.9802118554467022,0.2873536076002065
reverse,9876543210,2026,225,31.08846748463634,0.9706943372389754,0.28735360760020645
reverse,9876543210,7,225,30.45513664403643,0.9802118554467022,0.28735360760020645
reverse,9876543210,1234,225,30.45513664403643,0.9802118554467022,0.28735360760020645
reverse,9876543210,55555,225,30.45513664403643,0.9802118554467022,0.28735360760020645
reverse,9876543210,31415,225,29.072679622132114,0.9720539831905107,0.28735360760020645
fiedler,6534120789,2026,225,41.61425105363037,0.9666751070110808,0.24900042816193688
fiedler,6534120789,7,225,41.61425105363037,0.9666751070110808,0.24900042816193688
fiedler,6534120789,1234,225,41.61425105363037,0.9666751070110808,0.24900042816193688
fiedler,6534120789,55555,225,46.95366376773791,0.9640020404739785,0.24900042816193688
fiedler,6534120789,31415,225,41.61425105363037,0.9666751070110808,0.24900042816193688
heavy_hex,3178249605,2026,225,52.28737230802949,0.9429724561115587,0.16622240542241598
heavy_hex,3178249605,7,225,52.28737230802949,0.9429724561115587,0.16622240542241598
heavy_hex,3178249605,1234,225,52.28737230802949,0.9429724561115587,0.16622240542241598
heavy_hex,3178249605,55555,225,52.28737230802949,0.9429724561115587,0.16622240542241598
heavy_hex,3178249605,31415,225,52.28737230802949,0.9429724561115587,0.16622240542241598
